Train Start From, Start Time,  F/S, Platform at CSMT,                                                                                                                                                                                              Mid Stations,             Destation,       Arrival Time,
,,,,,,,
CSMT,    4.19  AM          ,       S ,                          3/4,"MASJID,SANDHURST ROAD,BYCULLA,CHINCHPOKLI,CURRY ROAD,PAREL,DADAR,MATUNGA,SION,KURLA,VIDYAVIHAR,GHATKOPAR,VIKHROLI,KANJUR MARG,BHANDUP,NAHUR,MULUND,THANE,KALVA,MUMBRA,DIVA JN,KOPAR,DOMBIVLI,THAKURLI,KALYAN,SHAHAD,AMBIVLI,TITWALA,KHADAVLI,VASIND,ASANGAON,ATGAON,THANSIT,KHARDI,UMBERMALI",KASARA,                       7.03 AM,
CSMT,    5.24  AM,       S,                          3/4,"MASJID,SANDHURST ROAD,BYCULLA,CHINCHPOKLI,CURRY ROAD,PAREL,DADAR,MATUNGA,SION,KURLA,VIDYAVIHAR,GHATKOPAR,VIKHROLI,KANJUR MARG,BHANDUP,NAHUR,MULUND,THANE,KALVA,MUMBRA,DIVA JN,KOPAR,DOMBIVLI,THAKURLI,KALYAN,VITHALWADI,ULHASNAGAR,AMBERNATH,BADLAPUR,VANGANI,SHELU,NERAL,BHIVPURI ROAD,KARJAT,PALASDHARI,KELAVLI,DOLAVLI,LOWJEE",KHOPOLI,                       7.09 AM,   8.09 AM 
CSMT,     7.47 AM,       S,                          3/4,"MASJID,SANDHURST ROAD,BYCULLA,CHINCHPOKLI,CURRY ROAD,PAREL,DADAR,MATUNGA,SION,KURLA,VIDYAVIHAR,GHATKOPAR,VIKHROLI,KANJUR MARG,BHANDUP,NAHUR,MULUND,THANE,KALVA,MUMBRA,DIVA JN,KOPAR,DOMBIVLI,THAKURLI,KALYAN,VITHALWADI,ULHASNAGAR,AMBERNATH,BADLAPUR,VANGANI,SHELU,NERAL,BHIVPURI ROADE",KARJAT,                       7.08 AM, 10.08 AM
CSMT,   10.00 AM,       S,                          3/4,"MASJID,SANDHURST ROAD,BYCULLA,CHINCHPOKLI,CURRY ROAD,PAREL,DADAR,MATUNGA,SION,KURLA,VIDYAVIHAR,GHATKOPAR,VIKHROLI,KANJUR MARG,BHANDUP,NAHUR,MULUND,THANE,KALVA,MUMBRA,DIVA JN,KOPAR,DOMBIVLI,THAKURLI,KALYAN,SHAHAD,AMBIVLI,TITWALA,KHADAVLI,VASIND,ASANGAON,ATGAON,THANSIT,KHARDI,UMBERMALI",KASARA,                       7.39 AM, 12.39 PM
CSMT,     11.04 AM,       S ,                          3/4,"MASJID,SANDHURST ROAD,BYCULLA,CHINCHPOKLI,CURRY ROAD,PAREL,DADAR,MATUNGA,SION,KURLA,VIDYAVIHAR,GHATKOPAR,VIKHROLI,KANJUR MARG,BHANDUP,NAHUR,MULUND",THANE,                       5.59 AM,11.59 PM
CSMT,     11.12 AM,       S,                          3/4,"MASJID,SANDHURST ROAD,BYCULLA,CHINCHPOKLI,CURRY ROAD,PAREL,DADAR,MATUNGA,SION,KURLA,VIDYAVIHAR,GHATKOPAR,VIKHROLI,KANJUR MARG,BHANDUP,NAHUR,MULUND,THANE,KALVA,MUMBRA,DIVA JN,KOPAR,DOMBIVLI,THAKURLI,KALYAN,SHAHAD,AMBIVLI,TITWALA,KHADAVLI,VASIND",ASANGAON,                       7.18 AM,1.18 PM
CSMT,     12.16 PM,       S,                          3/4,"MASJID,SANDHURST ROAD,BYCULLA,CHINCHPOKLI,CURRY ROAD,PAREL,DADAR,MATUNGA,SION,KURLA,VIDYAVIHAR,GHATKOPAR,VIKHROLI,KANJUR MARG,BHANDUP,NAHUR,MULUND,THANE,KALVA,MUMBRA,DIVA JN,KOPAR,DOMBIVLI,THAKURLI,KALYAN,VITHALWADI,ULHASNAGAR",AMBERNATH,                       6.58 AM,2.24 PM
CSMT,     1.20 PM,       F,,"BYCULLA, DADAR,KURLA, GHATKOPAR,THANE,DOMBIVLI",KALYAN,                       6.24 AM,2.50 PM
CSMT,     2.28 PM,       S ,                          3/4,"MASJID,SANDHURST ROAD,BYCULLA,CHINCHPOKLI,CURRY ROAD,PAREL,DADAR,MATUNGA,SION,KURLA,VIDYAVIHAR,GHATKOPAR,VIKHROLI,KANJUR MARG,BHANDUP,NAHUR,MULUND,THANE,KALVA,MUMBRA,DIVA JN,KOPAR,DOMBIVLI,THAKURLI,KALYAN,SHAHAD,AMBIVLI",TITWALA,                       7.11 AM,4.11 PM
CSMT,     3.40 PM,       S,                          3/4,"MASJID,SANDHURST ROAD,BYCULLA,CHINCHPOKLI,CURRY ROAD,PAREL,DADAR,MATUNGA,SION,KURLA,VIDYAVIHAR,GHATKOPAR,VIKHROLI,KANJUR MARG,BHANDUP,NAHUR,MULUND,THANE,KALVA,MUMBRA,DIVA JN,KOPAR,DOMBIVLI,THAKURLI,KALYAN,VITHALWADI,ULHASNAGAR",AMBERNATH,                       7.23 AM,5.23 PM
CSMT,     4.46 PM,       F,,"BYCULLA, DADAR,KURLA, GHATKOPAR,THANE,DOMBIVLI,KALYAN,VITHALWADI,ULHASNAGAR,AMBERNATH,BADLAPUR,VANGANI,SHELU,NERAL,BHIVPURI ROAD",KARJAT,                       7.43 AM ,6.30 PM
CSMT,     5.51 PM,       S,                          3/4     ,"MASJID,SANDHURST ROAD,BYCULLA,CHINCHPOKLI,CURRY ROAD,PAREL,DADAR,MATUNGA,SION,KURLA,VIDYAVIHAR,GHATKOPAR,VIKHROLI,KANJUR MARG,BHANDUP,NAHUR,MULUND,THANE,KALVA,MUMBRA,DIVA JN,KOPAR,DOMBIVLI,THAKURLI,KALYAN,SHAHAD,AMBIVLI",TITWALA,                       7.37 AM,7.37 PM
CSMT,     6.56 PM,       S,                          3/4,"MASJID,SANDHURST ROAD,BYCULLA,CHINCHPOKLI,CURRY ROAD,PAREL,DADAR,MATUNGA,SION",KURLA,                       6.24 AM,8.24 PM
CSMT,     8.01 PM,       S,                          3/4,"MASJID,SANDHURST ROAD,BYCULLA,CHINCHPOKLI,CURRY ROAD,PAREL,DADAR,MATUNGA,SION,KURLA,VIDYAVIHAR,GHATKOPAR,VIKHROLI,KANJUR MARG,BHANDUP,NAHUR,MULUND,THANE,KALVA,MUMBRA,DIVA JN,KOPAR,DOMBIVLI,THAKURLI,KALYAN,SHAHAD,AMBIVLI,TITWALA,KHADAVLI,VASIND",ASANGAON,                       8.07 AM,9.07 PM
CSMT,     9.06 PM,       S,                          3/4,"MASJID,SANDHURST ROAD,BYCULLA,CHINCHPOKLI,CURRY ROAD,PAREL,DADAR,MATUNGA,SION,KURLA,VIDYAVIHAR,GHATKOPAR,VIKHROLI,KANJUR MARG,BHANDUP,NAHUR,MULUND,THANE,KALVA,MUMBRA,DIVA JN,KOPAR,DOMBIVLI,THAKURLI",KALYAN,                       7.35 AM,10.46 PM
CSMT,     10.10 PM,       F,                          3/4,"BYCULLA, DADAR,KURLA, GHATKOPAR,THANE,DOMBIVLI,KALYAN,VITHALWADI,ULHASNAGAR,AMBERNATH,BADLAPUR,VANGANI,SHELU,NERAL,BHIVPURI ROAD",KARJAT,                        8.08 AM,12.08 AM
CSMT,     11.19 PM,      S,                          3/4,"MASJID,SANDHURST ROAD,BYCULLA,CHINCHPOKLI,CURRY ROAD,PAREL,DADAR,MATUNGA,SION,KURLA,VIDYAVIHAR,GHATKOPAR,VIKHROLI,KANJUR MARG,BHANDUP,NAHUR,MULUND,THANE,KALVA,MUMBRA,DIVA JN,KOPAR,DOMBIVLI,THAKURLI,KALYAN,VITHALWADI,ULHASNAGAR",AMBERNATH,                       8.00 AM,1.00 AM
CSMT,     12.23 AM,      S,                          3/4,"MASJID,SANDHURST ROAD,BYCULLA,CHINCHPOKLI,CURRY ROAD,PAREL,DADAR,MATUNGA,SION,KURLA,VIDYAVIHAR,GHATKOPAR,VIKHROLI,KANJUR MARG,BHANDUP,NAHUR,MULUND,THANE,KALVA,MUMBRA,DIVA JN,KOPAR",DOMBIVLI,                       7.41 AM,1.41 AM
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
